ID	Name	Place	Once	Story	Auto	Begin	Duration	Interval	Desc	EndDesc	Hide	Flag
100027	云泽州	Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan|Place_SouthForest|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14|Place_Desert|Place_Desert2|Place_Desert4|Place_Snowfield|Place_Snowfield2	2	ZT_YZZ	1	199	2	2	叶凡当着曲州年轻修士的面，击杀摇光与姬家八名真传弟子，这则消息像是长了翅膀，飞快传了出去，惹出不小的风波。			
100028	青蛟王洞府	Place_YZZ	2	JCXPW	1	182	2	9	青蛟王的洞府，大泽是该地的主要地貌。			
100029	闯紫山	Place_ZS	3	CZS	1	154	3	21	这九条山岭哪里像龙，那座紫山立上立下，跟一把大铁剑似的，根本不像珠子			
100030	姚曦	Place_TCGK	1	YX	1	151	3		叶凡自太玄门偷渡后，在各大圣地的矿区带了一段时间			
100031	火域逃亡	Place_HY	2	HFLR	1	143	4	100	叶凡被各大圣地传人一路追踪，逃至火域			
100032	名传南域	Place_DanXia	3	KQWDF	1	114	2	100	叶凡救下小月亮，但是却被姬家恩将仇报，一路追杀至南域一座小城之上			
100033	麻衣人追杀	Place_TXM	2	JJHFF	1	112	2	100	叶凡独自一人从太玄门逃出后，偶遇了孔雀王和姬紫月			
100034	太玄门	Place_TXM		TXM	1	92	3	100	太玄门是南荒一座古老的超级大势力，随不能与荒古世家媲美，但据传其内有不世法门，皆字秘。			
100035	太玄门	Place_LXDT	2	ZT_TXM	1	81	3	2	太玄门一百八十仙山，传闻有大秘。（只出现两次）			
100036	青铜仙殿	Place_LXDT	2	ZT_GWSTSFYX	1	78	3	2	这是一个神秘的地方，似乎有成仙的机密（只出现两次。）			
100037	重返禁地	Place_HGJD_1		ZT_HGJD_1	1	101	2	25	各大圣地欲要进入圣地寻觅续命灵药。			
100038	妖帝坟	Place_YDF		Story_YDF	1	62	8	103	妖帝坟现世！快去寻觅其中的宝物吧！	没人要咯，那被人拿走了。		
100039	古人诚不欺我	Place_LXDT	2	GRCBQW	1	72	2	104	叶凡被韩长老抓去炼药了，赶紧去瞧瞧。			
100040	姜家骑士	Place_LXDT	3	JJQS	1	66	3	105	叶凡被姜逸晨派出的骑士追杀的上天无路入地无门。			
100041	灵墟洞天	Place_LXDT	3	LXDT1	1	59	3	106	那边似乎有人在抢药，过去看看			
100042	灵墟洞天	Place_LXDT		LXDT	1	53	3	107	又到了灵墟洞天每个月的发药日啦	你们不要，给别人了咯。		
100043	五色祭坛	Place_WSST	1	JLBD1	1	57	2	108	听说[TXT]闪烁着光芒和仙威，附件的人也无法明说，究竟它是从何时起便存在，也说不清究竟属于哪一方势力。	这次没有召唤来九条龙尸。但出产了一些法宝和丹药被其他门派所得。		
100044	五色祭坛	Place_WSST		ZT_WSST	1	55	2	109	听说[TXT]闪烁着光芒和仙威，附近的人也无法明说，究竟它是从何时起便存在，也说不清究竟属于哪一方势力。			
100045	九龙拉棺	Place_WSST		ZT_JLLG	1	52	2	110	听说[TXT]的附近出现了一道巨大的空间裂缝，九头龙尸拉着一口青铜棺材，划破了夜空，坠落在了其附近，迎来了不少修行者。叶凡等人已经从那九大生命禁区的荒古禁地中走了出来，并被周遭的洞天福地中的灵墟洞天带走了。	出现在[TXT]的九龙拉棺，在某个时刻，再一次启动，似乎又踏上了不归的旅途。	九具巨大的龙尸又一次踏上了无尽的旅途。	
100046	荒古禁地	Place_HGJD_1	2	ZT_HGJD	1	75	2	111	听说[TXT]里的荒主又一次陷入沉睡了！这可是个大好机会，不过听说在荒古禁地里每分每秒都会消耗极大的寿元。	荒主醒来后，将[TXT]附件方圆百里的修行者杀了个干净。		
100047	丹方	Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan|Place_SouthForest|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14|Place_Desert|Place_Desert2|Place_Desert4|Place_Snowfield|Place_Snowfield3	5	ZT_DF	1	99	3	55	听说[TXT]出现了一本神秘的丹方秘籍，去看看。	荒主醒来后，将[TXT]附件方圆百里的修行者杀了个干净。		
100048	老存档	Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan|Place_SouthForest|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14|Place_Desert|Place_Desert2|Place_Desert4|Place_Snowfield|Place_Snowfield3	1	ZT_DD1	1	250	15		听说[TXT]出现了一本秘籍，似乎是解锁地点的适用于老存档			
100049	老存档	Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan|Place_SouthForest|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14|Place_Desert|Place_Desert2|Place_Desert4|Place_Snowfield|Place_Snowfield4	1	ZT_DD1	1	33	10		听说[TXT]出现了一本秘籍，似乎是解锁地点的适用于老存档			
100050	源天书传承	Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan|Place_SouthForest|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14|Place_Desert|Place_Desert2|Place_Desert4|Place_Snowfield|Place_Snowfield4	1	ZT_ZJC1	1	108	3		听说[TXT]出现了源天书的传承，据说源天书都在石胎里，不知道是也不是。	一名神秘修行者获得了前辈仙人的道统。		
100051	虚空经	Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan|Place_SouthForest|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14|Place_Desert|Place_Desert2|Place_Desert4|Place_Snowfield|Place_Snowfield3	1	ZT_G_XKJ	1	166	3		听说[TXT]荒古世家昨天开源石开到了一百个古修，被灭门了，虚空经流落在外。	一名神秘修行者获得了前辈仙人的道统。		
100052	天帝经	Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan|Place_SouthForest|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14|Place_Desert|Place_Desert2|Place_Desert4|Place_Snowfield|Place_Snowfield3	1	ZT_G_TDJ	1	333	3		听说[TXT]居然出现了天帝经的传承。真是机不可失失不再来啊。	一名神秘修行者获得了前辈仙人的道统。		
100053	渡劫天功	Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan|Place_SouthForest|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14|Place_Desert|Place_Desert2|Place_Desert4|Place_Snowfield|Place_Snowfield3	1	ZT_G_DJTG	1	143	3		听说[TXT]出现了断德天功？遭雷劈的那种。	一名神秘修行者获得了前辈仙人的道统。		
100054	恒宇经	Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan|Place_SouthForest|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14|Place_Desert|Place_Desert2|Place_Desert4|Place_Snowfield|Place_Snowfield1	1	ZT_G_THJ	1	246	3		听说[TXT]出现太皇经，大夏皇朝所拥有的无上杀伐之术！	一名神秘修行者获得了前辈仙人的道统。		
100055	太皇经	Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan|Place_SouthForest|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14|Place_Desert|Place_Desert2|Place_Desert4|Place_Snowfield|Place_Snowfield2	1	ZT_G_THJ	1	277	3		听说[TXT]出现太皇经，大夏皇朝所拥有的无上杀伐之术！	一名神秘修行者获得了前辈仙人的道统。		
100056	北域圣城	Place_SC	1	JLBD	1	45	99999		听说圣城浮现在了北域，之前的术法防护解除了。	一名神秘修行者获得了前辈仙人的道统。		
100057	拍卖行	Place_SC		TradeAuction			5		天妖宝阙开启了拍卖会，不知道这次会有哪些好东西			TAuction
